Date (GMT),Open,High,Low,Last
2019-01-02,45.25,47.51,45.1367,47.03
2019-01-03,46.44,46.6524,45.0,45.36
2019-01-04,46.0,47.55,45.13,47.17
2019-01-07,47.24,49.0799,47.09,48.5
2019-01-08,49.07,51.105,49.0,49.97
2019-01-09,50.37,51.41,49.9145,50.83
2019-01-10,50.5,51.49,50.09,51.35
2019-01-11,46.38,46.84,44.47,46.54
2019-01-14,46.07,47.68,45.82,47.29
2019-01-15,47.33,47.8853,46.62,46.84
2019-01-16,46.76,47.375,45.86,47.13
2019-01-17,46.95,47.63,46.41,47.38
2019-01-18,47.89,49.32,47.84,48.65
2019-01-22,48.17,48.17,46.82,47.06
2019-01-23,47.32,47.44,45.63,46.02
2019-01-24,45.94,47.4,45.89,47.27
2019-01-25,47.86,48.39,47.09,47.8
2019-01-28,47.0,47.22,45.96,46.74
2019-01-29,46.36,46.47,45.23,45.73
2019-01-30,46.18,46.32,45.5,46.31
2019-01-31,46.46,47.49,45.98,47.24
2019-02-01,47.19,47.49,45.51,46.01
2019-02-04,46.32,47.03,46.07,46.78
2019-02-05,46.93,48.09,46.61,47.84
2019-02-06,45.0,45.0,42.53,43.0
2019-02-07,43.21,44.33,43.05,43.96
2019-02-08,43.78,43.93,42.88,43.41
2019-02-11,43.8,43.8,39.85,40.11
2019-02-12,40.34,42.2352,40.11,41.67
2019-02-13,42.93,45.33,42.84,44.57
2019-02-14,44.09,46.59,43.7901,45.43
2019-02-15,45.47,45.6,44.14,44.6
2019-02-19,44.45,44.79,43.5,44.48
2019-02-20,44.67,45.56,42.48,42.78
2019-02-21,42.7,42.86,41.67,41.9
2019-02-22,42.0,42.25,41.25,41.5
2019-02-25,41.82,42.21,41.0,41.96
2019-02-26,41.82,42.68,41.72,42.08
2019-02-27,42.06,42.36,41.61,41.79
2019-02-28,41.78,42.35,41.67,42.14
2019-03-01,42.6,43.179,42.18,42.84
2019-03-04,43.06,43.25,41.31,41.79
2019-03-05,41.84,42.0,41.05,41.88
2019-03-06,41.95,42.86,41.86,42.56
2019-03-07,42.43,42.4721,41.18,41.42
2019-03-08,41.01,42.12,40.89,42.03
2019-03-11,42.23,43.1,41.99,42.92
2019-03-12,43.07,43.1499,42.555,42.63
2019-03-13,42.83,43.95,42.565,43.7
2019-03-14,43.73,43.93,43.23,43.32
2019-03-15,44.02,45.11,43.91,44.63
2019-03-18,44.93,45.16,44.12,44.97
2019-03-19,45.61,47.295,45.29,46.42
2019-03-20,46.37,47.09,46.13,46.16
2019-03-21,46.08,48.83,45.9,48.6
2019-03-22,48.31,48.45,46.28,46.87
2019-03-25,46.75,47.545,46.42,46.98
2019-03-26,47.28,47.88,45.96,46.43
2019-03-27,46.29,46.29,45.24,45.52
2019-03-28,45.34,45.71,44.8702,45.62
2019-03-29,46.18,46.37,45.01,45.53
2019-04-01,46.5,47.31,46.16,47.12
2019-04-02,47.42,47.78,46.2,47.46
2019-04-03,47.75,48.6,47.4,47.65
2019-04-04,47.68,47.82,46.58,46.96
2019-04-05,47.08,47.54,46.675,47.29
2019-04-08,47.23,47.63,46.37,47.57
2019-04-09,47.19,47.65,46.85,47.01
2019-04-10,47.34,47.96,47.15,47.86
2019-04-11,48.06,48.24,46.855,47.17
2019-04-12,47.4,47.68,46.94,47.28
