Date (GMT),Open,High,Low,Last
2019-01-02,6.546,6.716,6.486,6.706
2019-01-03,6.668,6.728,6.608,6.65
2019-01-04,6.522,6.756,6.502,6.73
2019-01-07,6.784,6.934,6.784,6.882
2019-01-08,6.988,6.988,6.898,6.949
2019-01-09,7.06,7.112,7.05,7.1
2019-01-10,6.914,6.998,6.862,6.978
2019-01-11,6.97,6.99,6.926,6.967
2019-01-14,6.976,7.17,6.976,7.104
2019-01-15,7.241,7.368,7.2,7.343
2019-01-16,7.368,7.404,7.342,7.344
2019-01-17,7.586,7.672,7.544,7.62
2019-01-18,7.78,7.868,7.78,7.85
2019-01-22,7.66,7.722,7.584,7.603
2019-01-23,7.664,7.738,7.606,7.658
2019-01-24,7.756,7.762,7.7,7.749
2019-01-25,7.762,7.762,7.726,7.739
2019-01-28,7.464,7.49,7.328,7.4
2019-01-29,7.63,7.672,7.618,7.632
2019-01-30,7.6,7.75,7.6,7.74
2019-01-31,7.518,7.52,7.354,7.448
2019-02-01,7.049,7.134,7.04,7.084
2019-02-04,7.31,7.3468,7.15426,7.346
2019-02-05,7.156,7.174,7.118,7.168
2019-02-06,6.738,6.776,6.704,6.706
2019-02-07,6.638,6.656,6.58608,6.652
2019-02-08,6.49,6.594,6.49,6.576
2019-02-11,6.596,6.596,6.404,6.522
2019-02-12,6.62,6.648,6.616,6.62
2019-02-13,6.776,6.78,6.732,6.761
2019-02-14,6.71,6.768,6.652,6.74
2019-02-15,6.624,6.734,6.624,6.732
2019-02-19,6.626,6.682,6.608,6.672
2019-02-20,6.66,6.724,6.652,6.67
2019-02-21,6.738,7.08,6.7,6.988
2019-02-22,6.966,7.208,6.93,7.108
2019-02-25,6.982,6.998,6.872,6.88
2019-02-26,6.874,6.96,6.865,6.954
2019-02-27,7.11,7.168,7.052,7.116
2019-02-28,6.88,6.9,6.818,6.85
2019-03-01,6.925,6.95,6.866,6.934
2019-03-04,6.81,6.828,6.704,6.742
2019-03-05,6.796,6.826,6.75,6.81
2019-03-06,6.91,6.958,6.91,6.93
2019-03-07,6.834,6.834,6.744,6.762
2019-03-08,6.656,6.686,6.611,6.679
2019-03-11,6.67,6.762,6.63,6.756
2019-03-12,6.87,6.894,6.82,6.858
2019-03-13,6.96,6.983,6.906,6.974
2019-03-14,6.783,6.808,6.78,6.79
2019-03-15,6.96,6.996,6.94,6.984
2019-03-18,7.15,7.194,7.14,7.177
2019-03-19,7.058,7.074,6.952,7.023
2019-03-20,6.806,6.882,6.798,6.82
2019-03-21,6.816,6.9048,6.812,6.886
2019-03-22,6.88,6.918,6.802,6.82
2019-03-25,6.97,7.034,6.94,6.986
2019-03-26,7.224,7.27,7.2,7.25
2019-03-27,7.198,7.24,7.156,7.2
2019-03-28,7.22,7.227,7.168,7.227
2019-03-29,7.16,7.188,7.122,7.174
2019-04-01,7.216,7.228,7.17,7.223
2019-04-02,7.218,7.232,7.162,7.192
2019-04-03,7.276,7.348,7.268,7.3144
2019-04-04,7.298,7.298,7.244,7.29
2019-04-05,7.4,7.514,7.374,7.474
2019-04-08,7.33,7.346,7.29,7.338
2019-04-09,7.39,7.442,7.39,7.416
2019-04-10,7.416,7.42,7.39,7.406
2019-04-11,7.346,7.4,7.332,7.35
2019-04-12,7.56,7.6054,7.56,7.59
2019-04-15,7.634,7.64,7.59,7.594
2019-04-16,7.702,7.738,7.622,7.656
2019-04-17,7.77,7.8,7.706,7.744
2019-04-18,8.48,8.836,8.32,8.692
2019-04-22,8.618,8.618,8.556,8.588
2019-04-23,8.302,8.306,8.226,8.282
2019-04-24,8.484,8.55,8.39,8.44
2019-04-25,8.212,8.25,7.93,8.05
2019-04-26,8.496,8.618,8.49,8.61
2019-04-29,8.55,8.676,8.55,8.676
2019-04-30,8.564,8.642,8.564,8.616
2019-05-01,8.604,8.668,8.6,8.602
2019-05-02,8.58,8.612,8.53,8.587
2019-05-03,8.588,8.71,8.578,8.707
2019-05-06,8.492,8.676,8.474,8.672
2019-05-07,8.398,8.414,8.304,8.348
2019-05-08,8.32,8.584,8.32,8.492
2019-05-09,8.372,8.42,8.272,8.404
2019-05-10,8.35,8.55,8.32,8.526
2019-05-13,8.436,8.436,8.208,8.268
2019-05-14,8.414,8.556,8.414,8.528
2019-05-15,8.478,8.63,8.474,8.612
2019-05-16,8.34,8.542,8.34,8.48
2019-05-17,8.506,8.556,8.4536,8.48
2019-05-20,8.554,8.634,8.512,8.554
2019-05-21,8.604,8.676,8.604,8.638
2019-05-22,8.596,8.668,8.594,8.65
2019-05-23,8.66,8.688,8.628,8.684
2019-05-24,8.905,8.93,8.878,8.922
2019-05-28,8.88,8.938,8.828,8.828
2019-05-29,8.936,8.936,8.772,8.83
2019-05-30,8.76,8.77,8.718,8.756
2019-05-31,8.986,8.986,8.8,8.827
2019-06-03,8.882,8.932,8.848,8.872
2019-06-04,8.798,8.87,8.702,8.866
2019-06-05,8.96,8.96,8.888,8.94
2019-06-06,8.94,8.9412,8.87,8.928
2019-06-07,9.064,9.118,9.022,9.068
2019-06-10,9.13,9.196,9.064,9.078
2019-06-11,9.088,9.09,8.834,8.858
2019-06-12,8.719,8.727,8.604,8.62
2019-06-13,8.612,8.666,8.562,8.612
2019-06-14,8.65,8.65,8.594,8.63
2019-06-17,8.67,8.67,8.629,8.636
2019-06-18,8.75,8.84,8.75,8.84
2019-06-19,8.674,8.7654,8.674,8.76
2019-06-20,9.02,9.028,8.93,8.992
2019-06-21,8.968,8.968,8.868,8.922
2019-06-24,8.904,8.92,8.854,8.902
2019-06-25,8.902,8.92,8.81,8.816
2019-06-26,8.906,8.928,8.728,8.8
2019-06-27,9.029,9.1,9.016,9.092
2019-06-28,9.128,9.164,9.114,9.154
2019-07-01,9.3,9.33,9.234,9.258
2019-07-02,9.254,9.272,9.224,9.246
2019-07-03,9.36,9.424,9.342,9.424
2019-07-05,9.304,9.4,9.29,9.354
2019-07-08,9.35,9.412,9.312,9.328
2019-07-09,9.234,9.29,9.234,9.282
2019-07-10,9.408,9.68,9.404,9.6
2019-07-11,9.66,9.736,9.61,9.661
2019-07-12,9.664,9.676,9.632,9.6456
2019-07-15,9.652,9.681,9.612,9.622
2019-07-16,9.599,9.622,9.504,9.53
2019-07-17,9.554,9.554,9.492,9.492
2019-07-18,9.452,9.596,9.452,9.596
2019-07-19,9.568,9.568,9.502,9.508
2019-07-22,9.368,9.402,9.324,9.34
