Date (GMT),Open,Last,emaTrend,trendBrDana,FutureReturn,FutureEmaTrend,FutureTrendBrDana
2019-01-02,45.25,47.03,0,0,0.10000000000000142,-1.0,1.0
2019-01-03,46.44,45.36,-1,0,2.020000000000003,-1.0,1.0
2019-01-04,46.0,47.17,1,0,1.4799999999999969,1.0,1.0
2019-01-07,47.24,48.5,1,0,-1.4399999999999977,-1.0,0.0
2019-01-08,49.07,49.97,1,0,-3.9499999999999957,-1.0,0.0
2019-01-09,50.37,50.83,1,0,-3.559999999999995,-1.0,0.0
2019-01-10,50.5,51.35,1,0,-3.5500000000000043,1.0,0.0
2019-01-11,46.38,46.54,-1,0,0.20000000000000284,-1.0,0.0
2019-01-14,46.07,47.29,-1,0,-1.5600000000000023,-1.0,0.0
2019-01-15,47.33,46.84,-1,0,-0.5300000000000011,-1.0,0.0
2019-01-16,46.76,47.13,-1,1,0.10999999999999943,1.0,0.0
2019-01-17,46.95,47.38,-1,1,-1.3700000000000045,-1.0,0.0
2019-01-18,47.89,48.65,1,1,-1.8699999999999974,-1.0,0.0
2019-01-22,48.17,47.06,-1,0,0.7800000000000011,1.0,0.0
2019-01-23,47.32,46.02,-1,0,-3.020000000000003,-1.0,0.0
2019-01-24,45.94,47.27,-1,0,-3.3100000000000023,-1.0,0.0
2019-01-25,47.86,47.8,1,0,-4.390000000000001,-1.0,0.0
2019-01-28,47.0,46.74,-1,0,-6.630000000000003,-1.0,0.0
2019-01-29,46.36,45.73,-1,0,-4.059999999999995,-1.0,0.0
2019-01-30,46.18,46.31,-1,0,-1.740000000000002,1.0,0.0
2019-01-31,46.46,47.24,1,0,-1.8100000000000023,1.0,0.0
2019-02-01,47.19,46.01,-1,0,-1.4099999999999966,1.0,0.0
2019-02-04,46.32,46.78,-1,0,-2.3000000000000043,1.0,0.0
2019-02-05,46.93,47.84,1,0,-5.060000000000002,-1.0,0.0
2019-02-06,45.0,43.0,-1,0,-1.1000000000000014,-1.0,0.0
2019-02-07,43.21,43.96,-1,0,-2.460000000000001,-1.0,0.0
2019-02-08,43.78,43.41,-1,0,-1.4499999999999957,-1.0,0.0
2019-02-11,43.8,40.11,-1,0,1.9699999999999989,-1.0,0.0
2019-02-12,40.34,41.67,-1,0,0.11999999999999744,-1.0,0.0
2019-02-13,42.93,44.57,1,0,-2.4299999999999997,-1.0,0.0
2019-02-14,44.09,45.43,1,0,-2.5899999999999963,1.0,0.0
2019-02-15,45.47,44.6,1,0,-2.8100000000000023,-1.0,0.0
2019-02-19,44.45,44.48,1,0,-2.5999999999999943,-1.0,0.0
2019-02-20,44.67,42.78,-1,0,-0.21999999999999886,1.0,0.0
2019-02-21,42.7,41.9,-1,0,-0.4799999999999969,-1.0,0.0
2019-02-22,42.0,41.5,-1,0,0.5300000000000011,-1.0,0.0
2019-02-25,41.82,41.96,-1,0,0.9600000000000009,1.0,0.0
2019-02-26,41.82,42.08,-1,0,0.5500000000000043,1.0,0.0
2019-02-27,42.06,41.79,-1,0,1.9100000000000037,1.0,0.0
2019-02-28,41.78,42.14,-1,0,1.1799999999999997,1.0,0.0
2019-03-01,42.6,42.84,1,0,1.7899999999999991,1.0,0.0
2019-03-04,43.06,41.79,-1,0,3.1799999999999997,1.0,0.0
2019-03-05,41.84,41.88,-1,0,4.539999999999999,1.0,0.0
2019-03-06,41.95,42.56,1,0,3.5999999999999943,1.0,0.0
2019-03-07,42.43,41.42,-1,0,7.18,1.0,0.0
2019-03-08,41.01,42.03,-1,0,4.839999999999996,1.0,0.0
2019-03-11,42.23,42.92,1,0,4.059999999999995,1.0,0.0
2019-03-12,43.07,42.63,1,0,3.799999999999997,1.0,0.0
2019-03-13,42.83,43.7,1,0,1.8200000000000003,-1.0,0.0
2019-03-14,43.73,43.32,1,0,2.299999999999997,-1.0,0.0
2019-03-15,44.02,44.63,1,0,0.8999999999999986,-1.0,0.0
2019-03-18,44.93,44.97,1,0,2.1499999999999986,1.0,0.0
2019-03-19,45.61,46.42,1,0,1.0399999999999991,1.0,0.0
2019-03-20,46.37,46.16,1,0,1.490000000000002,1.0,0.0
2019-03-21,46.08,48.6,1,0,-1.6400000000000006,1.0,0.0
2019-03-22,48.31,46.87,1,0,0.4200000000000017,1.0,0.0
2019-03-25,46.75,46.98,1,0,0.5900000000000034,1.0,0.0
2019-03-26,47.28,46.43,1,0,0.5799999999999983,1.0,0.0
2019-03-27,46.29,45.52,-1,0,2.3399999999999963,1.0,0.0
2019-03-28,45.34,45.62,-1,0,1.5500000000000043,1.0,0.0
2019-03-29,46.18,45.53,-1,0,1.75,1.0,0.0
2019-04-01,46.5,47.12,1,0,-1.3699999999999974,-1.0,0.0
2019-04-02,47.42,47.46,1,0,-2.3999999999999986,-1.0,0.0
2019-04-03,47.75,47.65,1,0,-2.6700000000000017,-1.0,0.0
2019-04-04,47.68,46.96,1,0,-1.6499999999999986,-1.0,0.0
2019-04-05,47.08,47.29,1,0,-1.9499999999999957,-1.0,0.0
2019-04-08,47.23,47.57,1,0,-1.0600000000000023,1.0,0.0
2019-04-09,47.19,47.01,1,0,-0.259999999999998,1.0,0.0
2019-04-10,47.34,47.86,1,0,-0.45000000000000284,1.0,0.0
2019-04-11,48.06,47.17,1,0,0.9799999999999969,1.0,0.0
2019-04-12,47.4,47.28,1,0,1.1199999999999974,1.0,0.0
2019-04-15,47.27,45.75,-1,0,2.460000000000001,1.0,0.0
2019-04-16,45.95,45.06,-1,0,3.5,1.0,0.0
2019-04-17,45.17,44.98,-1,0,4.57,1.0,1.0
2019-04-18,45.18,45.31,-1,0,1.8399999999999963,-1.0,1.0
2019-04-22,45.24,45.34,-1,0,2.819999999999993,1.0,0.0
2019-04-23,45.6,46.51,1,0,0.1700000000000017,-1.0,0.0
2019-04-24,46.45,46.75,1,0,0.07000000000000028,-1.0,0.0
2019-04-25,46.66,47.41,1,0,-0.769999999999996,-1.0,0.0
2019-04-26,47.48,48.15,1,0,-2.1299999999999955,-1.0,0.0
2019-04-29,48.43,48.4,1,0,-4.990000000000002,-1.0,0.0
2019-04-30,48.41,48.21,1,0,-3.509999999999998,-1.0,0.0
2019-05-01,48.35,48.56,1,0,-2.280000000000001,1.0,0.0
2019-05-02,48.78,49.55,1,1,-2.259999999999998,1.0,0.0
2019-05-03,48.2,47.15,-1,1,-0.759999999999998,1.0,0.0
2019-05-06,46.03,48.16,1,0,-4.549999999999997,-1.0,0.0
2019-05-07,47.71,46.68,-1,0,-3.229999999999997,-1.0,0.0
2019-05-08,47.05,46.82,-1,0,-3.9100000000000037,-1.0,0.0
2019-05-09,46.14,46.64,-1,0,-4.450000000000003,-1.0,0.0
2019-05-10,46.56,46.02,-1,0,-3.730000000000004,-1.0,0.0
2019-05-13,44.73,43.41,-1,0,0.09000000000000341,-1.0,0.0
2019-05-14,43.7,44.7,-1,0,-0.7100000000000009,1.0,-1.0
2019-05-15,44.49,46.28,1,0,-2.719999999999999,-1.0,-1.0
2019-05-16,46.27,47.29,1,0,-3.9200000000000017,-1.0,-1.0
2019-05-17,46.81,46.39,1,0,-4.009999999999998,-1.0,-1.0
2019-05-20,45.65,43.61,-1,0,0.0,1.0,0.0
2019-05-21,43.97,43.45,-1,0,1.0700000000000003,1.0,0.0
2019-05-22,42.94,42.91,-1,0,1.1700000000000017,1.0,0.0
2019-05-23,42.43,42.19,-1,0,3.190000000000005,1.0,0.0
2019-05-24,42.46,42.29,-1,0,3.719999999999999,1.0,0.0
2019-05-28,43.76,43.5,-1,0,3.200000000000003,1.0,0.0
2019-05-29,43.2,43.99,1,-1,1.1000000000000014,1.0,0.0
2019-05-30,44.04,43.56,-1,-1,2.489999999999995,1.0,0.0
2019-05-31,43.11,43.37,-1,-1,2.25,1.0,0.0
2019-06-03,43.32,42.38,-1,-1,2.6899999999999977,-1.0,0.0
2019-06-04,42.98,43.61,1,0,2.1600000000000037,1.0,0.0
2019-06-05,43.77,44.52,1,0,0.8099999999999952,1.0,0.0
2019-06-06,44.15,44.08,1,0,1.5900000000000034,1.0,0.0
2019-06-07,44.28,45.38,1,0,0.529999999999994,1.0,0.0
2019-06-10,45.77,46.01,1,0,1.1400000000000006,1.0,0.0
2019-06-11,46.49,46.7,1,0,-0.5,1.0,0.0
