Date (GMT),Open,Last,emaTrend,trendBrDana,FutureReturn,FutureEmaTrend,FutureTrendBrDana
2019-01-02,6.546,6.706,0,0,0.637999999999999,1.0,0.0
2019-01-03,6.667999999999999,6.65,-1,0,0.9699999999999998,1.0,0.0
2019-01-04,6.522,6.73,1,0,1.1199999999999992,1.0,0.0
2019-01-07,6.784,6.882000000000001,1,0,0.7209999999999992,1.0,0.0
2019-01-08,6.9879999999999995,6.949,1,0,0.7089999999999996,1.0,0.0
2019-01-09,7.06,7.1,1,0,0.649,1.0,0.0
2019-01-10,6.914,6.978,1,0,0.7610000000000001,1.0,0.0
2019-01-11,6.97,6.9670000000000005,1,0,0.43299999999999983,-1.0,0.0
2019-01-14,6.976,7.104,1,0,0.5280000000000005,1.0,0.0
2019-01-15,7.2410000000000005,7.343,1,0,0.39700000000000024,1.0,0.0
2019-01-16,7.367999999999999,7.343999999999999,1,0,0.10400000000000009,-1.0,0.0
2019-01-17,7.586,7.62,1,0,-0.5360000000000005,-1.0,0.0
2019-01-18,7.78,7.85,1,0,-0.5039999999999996,-1.0,0.0
2019-01-22,7.66,7.603,1,0,-0.4350000000000005,-1.0,0.0
2019-01-23,7.664,7.6579999999999995,1,0,-0.9519999999999991,-1.0,0.0
2019-01-24,7.756,7.749,1,0,-1.0969999999999995,-1.0,0.0
2019-01-25,7.7620000000000005,7.739,1,0,-1.1629999999999994,-1.0,0.0
2019-01-28,7.4639999999999995,7.4,-1,0,-0.8780000000000001,-1.0,0.0
2019-01-29,7.63,7.632000000000001,1,0,-1.0120000000000005,-1.0,0.0
2019-01-30,7.6,7.74,1,0,-0.9790000000000001,-1.0,0.0
2019-01-31,7.518,7.4479999999999995,-1,0,-0.7079999999999993,-1.0,0.0
2019-02-01,7.0489999999999995,7.084,-1,0,-0.3519999999999994,-1.0,0.0
2019-02-04,7.31,7.346,-1,0,-0.6739999999999995,-1.0,0.0
2019-02-05,7.156000000000001,7.167999999999999,-1,0,-0.49799999999999933,-1.0,0.0
2019-02-06,6.7379999999999995,6.706,-1,0,0.28199999999999914,1.0,0.0
2019-02-07,6.638,6.652,-1,0,0.4559999999999995,1.0,0.0
2019-02-08,6.49,6.5760000000000005,-1,0,0.3039999999999994,1.0,0.0
2019-02-11,6.596,6.522,-1,0,0.4319999999999995,1.0,0.0
2019-02-12,6.62,6.62,-1,0,0.49600000000000044,1.0,1.0
2019-02-13,6.776,6.761,-1,0,0.08899999999999952,-1.0,1.0
2019-02-14,6.71,6.74,-1,0,0.19399999999999995,1.0,1.0
2019-02-15,6.624,6.732,-1,0,0.010000000000000675,-1.0,1.0
2019-02-19,6.626,6.672000000000001,-1,0,0.137999999999999,-1.0,0.0
2019-02-20,6.66,6.67,-1,0,0.2599999999999998,1.0,0.0
2019-02-21,6.7379999999999995,6.9879999999999995,1,0,-0.2259999999999991,-1.0,0.0
2019-02-22,6.966,7.108,1,0,-0.42900000000000027,-1.0,0.0
2019-02-25,6.982,6.88,1,0,-0.12399999999999967,-1.0,0.0
2019-02-26,6.874,6.954,1,0,-0.09600000000000009,1.0,0.0
2019-02-27,7.11,7.1160000000000005,1,1,-0.14200000000000035,1.0,0.0
2019-02-28,6.88,6.85,-1,1,-0.05999999999999961,-1.0,0.0
2019-03-01,6.925,6.934,1,1,0.04999999999999982,1.0,0.0
2019-03-04,6.81,6.742000000000001,-1,1,0.4349999999999996,1.0,1.0
2019-03-05,6.796,6.81,-1,0,0.21300000000000008,1.0,1.0
2019-03-06,6.91,6.93,1,0,-0.10999999999999943,-1.0,0.0
2019-03-07,6.834,6.7620000000000005,-1,0,0.12399999999999967,-1.0,1.0
2019-03-08,6.656000000000001,6.678999999999999,-1,0,0.1410000000000009,-1.0,1.0
2019-03-11,6.67,6.756,-1,0,0.23000000000000043,1.0,0.0
2019-03-12,6.87,6.858,1,0,0.39200000000000035,1.0,1.0
2019-03-13,6.96,6.974,1,0,0.22599999999999998,1.0,1.0
2019-03-14,6.7829999999999995,6.79,-1,0,0.4370000000000003,1.0,1.0
2019-03-15,6.96,6.984,1,0,0.1899999999999995,1.0,0.0
2019-03-18,7.15,7.1770000000000005,1,1,0.045999999999999375,1.0,1.0
2019-03-19,7.058,7.023,1,1,0.16900000000000048,1.0,1.0
2019-03-20,6.806,6.82,-1,0,0.49439999999999973,1.0,1.0
2019-03-21,6.816,6.886,-1,1,0.4039999999999999,1.0,1.0
2019-03-22,6.88,6.82,-1,1,0.6539999999999999,1.0,1.0
2019-03-25,6.97,6.986000000000001,1,0,0.35199999999999854,1.0,1.0
2019-03-26,7.224,7.25,1,1,0.16600000000000037,1.0,1.0
2019-03-27,7.1979999999999995,7.2,1,1,0.2060000000000004,1.0,1.0
2019-03-28,7.22,7.227,1,1,0.12299999999999933,1.0,0.0
2019-03-29,7.16,7.1739999999999995,1,0,0.41600000000000037,1.0,0.0
2019-04-01,7.216,7.223,1,1,0.37099999999999955,1.0,0.0
2019-04-02,7.218,7.192,1,1,0.4640000000000004,1.0,0.0
2019-04-03,7.276,7.3144,1,1,0.42959999999999976,1.0,0.0
2019-04-04,7.297999999999999,7.29,1,1,1.4020000000000001,1.0,0.0
2019-04-05,7.4,7.474,1,1,1.113999999999999,1.0,0.0
2019-04-08,7.33,7.337999999999999,1,1,0.9440000000000008,1.0,0.0
2019-04-09,7.39,7.416,1,1,1.0239999999999991,1.0,0.0
2019-04-10,7.416,7.406000000000001,1,1,0.6440000000000001,1.0,0.0
2019-04-11,7.346,7.35,1,0,1.2599999999999998,1.0,0.0
2019-04-12,7.56,7.59,1,0,1.0860000000000003,1.0,0.0
2019-04-15,7.6339999999999995,7.593999999999999,1,0,1.0220000000000002,1.0,0.0
2019-04-16,7.702000000000001,7.656000000000001,1,0,0.9459999999999997,1.0,0.0
2019-04-17,7.77,7.744,1,0,0.843,1.0,0.0
2019-04-18,8.48,8.692,1,0,0.015000000000000568,1.0,0.0
2019-04-22,8.618,8.588,1,0,0.0840000000000014,1.0,0.0
2019-04-23,8.302,8.282,1,0,0.06599999999999895,-1.0,0.0
2019-04-24,8.484,8.44,1,0,0.05200000000000138,1.0,0.0
2019-04-25,8.212,8.05,1,0,0.3539999999999992,-1.0,0.0
2019-04-26,8.496,8.61,1,0,-0.08399999999999963,1.0,0.0
2019-04-29,8.55,8.676,1,0,-0.40800000000000125,-1.0,0.0
2019-04-30,8.564,8.616,1,0,-0.08800000000000097,1.0,0.0
2019-05-01,8.604,8.602,1,0,0.009999999999999787,1.0,1.0
2019-05-02,8.58,8.587,1,0,-0.10699999999999932,-1.0,0.0
2019-05-03,8.588,8.707,1,0,-0.2270000000000003,-1.0,0.0
2019-05-06,8.492,8.672,1,0,-0.11800000000000033,1.0,0.0
2019-05-07,8.398,8.347999999999999,-1,0,0.2900000000000009,1.0,0.0
2019-05-08,8.32,8.492,1,0,0.15799999999999947,1.0,0.0
2019-05-09,8.372,8.404,-1,0,0.27999999999999936,1.0,0.0
2019-05-10,8.35,8.526,1,0,0.3960000000000008,1.0,0.0
2019-05-13,8.436,8.267999999999999,-1,0,0.5600000000000005,1.0,1.0
2019-05-14,8.414,8.527999999999999,1,0,0.3020000000000014,1.0,0.0
2019-05-15,8.478,8.612,1,1,0.14400000000000013,1.0,0.0
2019-05-16,8.34,8.48,-1,0,0.34699999999999953,1.0,0.0
2019-05-17,8.506,8.48,-1,0,0.39199999999999946,1.0,0.0
2019-05-20,8.554,8.554,1,0,0.3119999999999994,1.0,0.0
2019-05-21,8.604,8.638,1,0,0.3019999999999996,1.0,0.0
2019-05-22,8.596,8.65,1,0,0.2779999999999987,1.0,0.0
2019-05-23,8.66,8.684,1,0,0.38400000000000034,1.0,0.0
2019-05-24,8.905,8.922,1,0,0.1559999999999988,1.0,0.0
2019-05-28,8.88,8.828,1,1,0.02999999999999936,-1.0,0.0
2019-05-29,8.936,8.83,1,0,-0.21000000000000085,-1.0,-1.0
2019-05-30,8.76,8.756,1,0,-0.14400000000000013,-1.0,-1.0
2019-05-31,8.986,8.827,1,0,-0.19699999999999918,-1.0,0.0
2019-06-03,8.882,8.872,1,0,-0.23599999999999888,-1.0,0.0
2019-06-04,8.798,8.866,1,0,-0.0259999999999998,1.0,-1.0
2019-06-05,8.96,8.94,1,0,-0.17999999999999972,-1.0,0.0
2019-06-06,8.94,8.927999999999999,1,0,0.06400000000000183,1.0,0.0
2019-06-07,9.064,9.068,1,0,-0.14599999999999902,1.0,0.0
2019-06-10,9.13,9.078,1,0,-0.17599999999999838,1.0,0.0
2019-06-11,9.088,8.857999999999999,-1,0,-0.04199999999999804,-1.0,0.0
2019-06-12,8.719,8.62,-1,-1,0.1800000000000015,-1.0,0.0
2019-06-13,8.612,8.612,-1,-1,0.4800000000000004,1.0,0.0
2019-06-14,8.65,8.63,-1,0,0.5239999999999991,1.0,0.0
2019-06-17,8.67,8.636000000000001,-1,0,0.6219999999999981,1.0,0.0
2019-06-18,8.75,8.84,1,-1,0.4060000000000006,1.0,0.0
2019-06-19,8.674,8.76,-1,0,0.6639999999999997,1.0,0.0
2019-06-20,9.02,8.992,1,0,0.3619999999999983,1.0,0.0
2019-06-21,8.968,8.922,1,0,0.4059999999999988,1.0,0.0
2019-06-24,8.904,8.902000000000001,1,0,0.379999999999999,1.0,0.0
2019-06-25,8.902000000000001,8.816,-1,0,0.7839999999999989,1.0,0.0
2019-06-26,8.906,8.8,-1,0,0.8609999999999989,1.0,0.0
2019-06-27,9.029,9.092,1,0,0.5535999999999994,1.0,0.0
2019-06-28,9.128,9.154,1,0,0.46799999999999997,1.0,0.0
2019-07-01,9.3,9.258,1,0,0.27200000000000024,1.0,0.0
2019-07-02,9.254,9.246,1,0,0.24600000000000044,1.0,0.0
2019-07-03,9.36,9.424,1,0,0.1720000000000006,1.0,0.0
2019-07-05,9.304,9.354,1,0,0.15399999999999991,1.0,0.0
2019-07-08,9.35,9.328,1,0,0.012000000000000455,-1.0,0.0
2019-07-09,9.234,9.282,1,0,-0.038000000000000256,-1.0,0.0
2019-07-10,9.408,9.6,1,0,-0.379999999999999,-1.0,-1.0
2019-07-11,9.66,9.661,1,0,-0.4969999999999999,-1.0,-1.0
2019-07-12,9.664,9.6456,1,0,-0.4016000000000002,-1.0,-1.0
2019-07-15,9.652000000000001,9.622,1,0,-0.31599999999999895,-1.0,-1.0
2019-07-16,9.599,9.53,1,0,-0.3699999999999992,-1.0,-1.0
2019-07-17,9.554,9.492,1,0,-0.25400000000000134,-1.0,0.0
2019-07-18,9.452,9.596,1,0,-0.12399999999999878,1.0,-1.0
2019-07-19,9.568,9.508,1,0,-0.20199999999999818,-1.0,-1.0
2019-07-22,9.368,9.34,-1,0,-0.3000000000000007,-1.0,-1.0
2019-07-23,9.25,9.244,-1,0,-0.06700000000000017,-1.0,-1.0
2019-07-24,9.24,9.22,-1,-1,0.08999999999999986,1.0,0.0
2019-07-25,9.234,9.164,-1,-1,0.24399999999999977,1.0,0.0
2019-07-26,9.328,9.244,-1,-1,0.03599999999999959,-1.0,0.0
2019-07-29,9.306000000000001,9.306000000000001,-1,-1,-0.10200000000000031,-1.0,0.0
2019-07-30,8.996,9.16,-1,-1,0.0519999999999996,-1.0,0.0
2019-07-31,9.27,9.238,-1,0,-0.021999999999998465,-1.0,0.0
2019-08-01,9.476,9.472000000000001,1,-1,-0.13200000000000145,1.0,0.0
2019-08-02,9.42,9.306000000000001,-1,-1,0.1039999999999992,1.0,0.0
2019-08-05,9.154,9.04,-1,-1,0.39000000000000057,1.0,0.0
2019-08-06,9.112,9.177,-1,-1,0.16900000000000048,1.0,0.0
2019-08-07,9.236,9.31,1,0,0.18799999999999883,1.0,0.0
2019-08-08,9.276,9.408,1,0,-0.017999999999998906,1.0,0.0
2019-08-09,9.35,9.28,-1,0,0.14000000000000057,1.0,0.0
2019-08-12,9.336,9.204,-1,0,0.28800000000000026,1.0,0.0
2019-08-13,9.03,9.212,-1,0,0.33800000000000097,1.0,0.0
2019-08-14,9.26,9.216000000000001,-1,0,0.3099999999999987,1.0,0.0
2019-08-15,9.366,9.34,1,0,0.20199999999999996,1.0,0.0
2019-08-16,9.325,9.41,1,0,0.03999999999999915,-1.0,0.0
2019-08-19,9.384,9.43,1,0,0.13200000000000145,1.0,0.0
2019-08-20,9.365,9.346,1,0,0.35999999999999943,1.0,0.0
2019-08-21,9.436,9.498,1,0,0.12199999999999989,1.0,0.0
2019-08-22,9.486,9.39,1,0,0.2919999999999998,1.0,0.0
2019-08-23,9.568,9.42,1,0,0.39400000000000013,1.0,0.0
2019-08-26,9.44,9.492,1,0,0.1919999999999984,1.0,0.0
2019-08-27,9.496,9.55,1,0,0.027999999999998693,-1.0,0.0
2019-08-28,9.522,9.526,1,0,0.07399999999999984,-1.0,0.0
2019-08-29,9.484,9.542,1,0,0.08200000000000074,1.0,0.0
2019-08-30,9.43,9.45,-1,0,0.13000000000000078,-1.0,0.0
2019-09-03,9.566,9.562000000000001,1,0,0.12399999999999878,1.0,0.0
2019-09-04,9.754,9.706,1,0,0.11600000000000144,1.0,0.0
2019-09-05,9.64,9.62,1,0,0.22799999999999976,1.0,0.0
2019-09-06,9.704,9.682,1,0,0.16999999999999993,1.0,0.0
2019-09-09,9.816,9.814,1,0,0.06600000000000072,1.0,0.0
2019-09-10,9.776,9.684,1,0,-0.1639999999999997,-1.0,0.0
2019-09-11,9.567,9.578,-1,0,-0.0600000000000005,-1.0,0.0
2019-09-12,9.596,9.6,-1,0,-0.14400000000000013,-1.0,0.0
2019-09-13,9.604,9.624,1,0,-0.30400000000000027,-1.0,0.0
2019-09-16,9.607000000000001,9.58,-1,0,-0.25399999999999956,-1.0,0.0
2019-09-17,9.596,9.686,1,0,-0.33200000000000074,-1.0,0.0
2019-09-18,9.824,9.822000000000001,1,0,-0.4120000000000008,-1.0,0.0
2019-09-19,9.86,9.847999999999999,1,0,-0.3619999999999983,1.0,0.0
2019-09-20,9.876,9.852,1,0,-0.24600000000000044,1.0,0.0
2019-09-23,9.84,9.88,1,0,-0.4380000000000006,-1.0,0.0
2019-09-24,9.782,9.52,-1,0,-0.18399999999999928,-1.0,0.0
2019-09-25,9.452,9.517999999999999,-1,0,0.026000000000001577,1.0,0.0
2019-09-26,9.49,9.456,-1,0,-0.10599999999999987,-1.0,0.0
2019-09-27,9.424,9.32,-1,0,-0.04200000000000159,-1.0,0.0
2019-09-30,9.294,9.326,-1,0,-0.09200000000000053,-1.0,0.0
2019-10-01,9.465,9.354,-1,0,-0.10199999999999854,-1.0,0.0
2019-10-02,9.502,9.41,-1,0,-0.2240000000000002,-1.0,0.0
2019-10-03,9.41,9.486,1,0,-0.5240000000000009,-1.0,0.0
2019-10-04,9.548,9.606,1,0,-0.718,-1.0,0.0
2019-10-07,9.416,9.442,-1,0,-0.6199999999999992,-1.0,0.0
2019-10-08,9.456,9.336,-1,0,-0.4820000000000011,-1.0,0.0
2019-10-09,9.544,9.544,1,0,-0.7140000000000004,-1.0,0.0
2019-10-10,9.31,9.35,-1,0,-0.6339999999999986,-1.0,0.0
2019-10-11,9.204,9.277999999999999,-1,0,-0.8199999999999985,-1.0,0.0
2019-10-14,9.24,9.234,-1,0,-0.7240000000000002,-1.0,0.0
2019-10-15,9.255,9.252,-1,0,-0.6540000000000017,-1.0,0.0
2019-10-16,9.246,9.186,-1,0,-0.3739999999999988,1.0,0.0
2019-10-17,9.02,8.962,-1,0,0.3420000000000005,1.0,0.0
2019-10-18,8.943999999999999,8.888,-1,0,1.0340000000000007,1.0,0.0
2019-10-21,8.888,8.822000000000001,-1,0,1.0579999999999998,1.0,0.0
2019-10-22,8.826,8.854,-1,0,1.016,1.0,0.0
2019-10-23,8.82,8.83,-1,0,0.8081199999999988,1.0,0.0
2019-10-24,8.696,8.716000000000001,-1,0,0.9159999999999986,1.0,0.0
2019-10-25,8.454,8.458,-1,0,1.1359999999999992,1.0,0.0
2019-10-28,8.536,8.51,-1,0,1.1099999999999994,1.0,0.0
2019-10-29,8.606,8.597999999999999,-1,0,1.0840000000000014,1.0,0.0
2019-10-30,8.82,8.812000000000001,1,0,0.8179999999999996,1.0,0.0
2019-10-31,9.26,9.304,1,0,0.31599999999999895,1.0,0.0
2019-11-01,9.65,9.922,1,0,-0.4380000000000006,-1.0,0.0
2019-11-04,9.93,9.88,1,0,-0.2660000000000018,1.0,0.0
2019-11-05,9.842,9.87,1,0,-0.11599999999999966,1.0,0.0
2019-11-06,9.72,9.638119999999999,1,0,0.26988000000000056,1.0,0.0
2019-11-07,9.652000000000001,9.632,1,0,0.10400000000000098,1.0,0.0
2019-11-08,9.67,9.594,1,0,0.0010000000000012221,-1.0,0.0
2019-11-11,9.572000000000001,9.62,1,0,0.1479999999999997,1.0,0.0
2019-11-12,9.66,9.682,1,0,0.06599999999999895,1.0,0.0
2019-11-13,9.63,9.63,1,0,0.129999999999999,1.0,0.0
2019-11-14,9.59,9.62,1,0,0.05799999999999983,-1.0,0.0
2019-11-15,9.54,9.484,-1,0,0.5239999999999991,1.0,0.0
2019-11-18,9.64,9.613999999999999,1,0,0.572000000000001,1.0,0.0
2019-11-19,9.708,9.754,1,0,0.391,1.0,0.0
2019-11-20,9.812000000000001,9.908,1,0,0.08999999999999986,1.0,0.0
2019-11-21,9.842,9.736,1,0,0.3739999999999988,1.0,0.0
2019-11-22,9.492,9.595,-1,0,0.7490000000000006,1.0,0.0
2019-11-25,9.666,9.767999999999999,1,0,0.822000000000001,1.0,0.0
2019-11-26,9.7504,9.748,1,0,0.7579999999999991,1.0,0.0
2019-11-27,9.726,9.76,1,0,0.6159999999999997,1.0,0.0
2019-11-29,9.7,9.677999999999999,-1,0,0.5120000000000005,-1.0,0.0
2019-12-02,9.876,10.008,1,0,0.4540000000000006,1.0,0.0
2019-12-03,10.11,10.186,1,0,0.20400000000000063,1.0,0.0
2019-12-04,10.13,10.145,1,0,0.04100000000000037,-1.0,0.0
2019-12-05,10.059,9.998,1,0,-0.06799999999999962,-1.0,0.0
2019-12-06,10.066,10.11,1,0,-0.21399999999999864,-1.0,0.0
2019-12-09,10.338,10.344000000000001,1,0,-0.41600000000000215,-1.0,0.0
2019-12-10,10.63,10.59,1,0,-0.6799999999999997,-1.0,0.0
2019-12-11,10.54,10.505999999999998,1,0,-0.525999999999998,-1.0,0.0
2019-12-12,10.276,10.376,1,0,-0.37599999999999945,-1.0,0.0
2019-12-13,10.252,10.19,-1,0,-0.25,-1.0,0.0
2019-12-16,10.35,10.462,1,0,-0.4819999999999993,-1.0,0.0
2019-12-17,10.44,10.39,1,0,-0.25200000000000067,1.0,0.0
2019-12-18,10.2,10.186,-1,0,-0.13599999999999923,1.0,1.0
2019-12-19,10.046,9.93,-1,0,-0.019999999999999574,-1.0,1.0
2019-12-20,9.84,9.896,-1,0,-0.06400000000000006,-1.0,0.0
2019-12-23,9.908,9.927999999999999,-1,0,-0.005999999999998451,-1.0,1.0
2019-12-24,9.88,9.91,-1,0,-0.002000000000000668,-1.0,0.0
2019-12-26,9.89,9.98,-1,0,-0.08799999999999919,-1.0,0.0
2019-12-27,9.984,10.0,-1,0,-0.08000000000000007,-1.0,0.0
2019-12-30,9.986,9.94,-1,0,-0.10999999999999943,-1.0,0.0
2019-12-31,9.972000000000001,9.98,-1,0,-0.17800000000000082,-1.0,0.0
2020-01-02,10.136000000000001,10.138,1,0,-0.370000000000001,-1.0,0.0
2020-01-03,9.946,10.05,1,1,-0.3160000000000007,-1.0,0.0
2020-01-06,9.88,9.91,-1,1,-0.11800000000000033,-1.0,0.0
2020-01-07,9.88,9.832,-1,0,-0.02200000000000024,-1.0,0.0
2020-01-08,9.82,9.922,-1,1,0.02999999999999936,1.0,0.0
2020-01-09,9.94,9.908,-1,0,0.038000000000000256,1.0,0.0
2020-01-10,9.91,9.892000000000001,-1,0,-0.2560000000000002,-1.0,0.0
2020-01-13,9.82,9.92,-1,0,-0.13000000000000078,-1.0,0.0
2020-01-14,9.78,9.83,-1,0,-0.07000000000000028,-1.0,0.0
2020-01-15,9.812000000000001,9.802,-1,0,-0.33199999999999896,-1.0,0.0
2020-01-16,9.8,9.767999999999999,-1,0,-0.5879999999999992,-1.0,0.0
2020-01-17,9.762,9.734,-1,0,-0.5700000000000003,-1.0,0.0
2020-01-21,9.8,9.792,-1,0,-0.5080000000000009,-1.0,0.0
2020-01-22,9.852,9.81,-1,0,-0.5300000000000011,-1.0,0.0
2020-01-23,9.85,9.952,1,0,-0.6859999999999999,-1.0,0.0
2020-01-24,9.922,9.946,1,0,-0.7400000000000002,-1.0,0.0
2020-01-27,9.616,9.636000000000001,-1,0,-0.35600000000000165,-1.0,0.0
2020-01-28,9.646,9.79,-1,0,-0.4339999999999993,-1.0,0.0
2020-01-29,9.777999999999999,9.76,-1,0,-0.4800000000000004,-1.0,0.0
2020-01-30,9.736,9.47,-1,0,-0.33000000000000007,-1.0,0.0
2020-01-31,9.332,9.18,-1,0,-0.13599999999999923,-1.0,0.0
2020-02-03,9.228,9.164,-1,0,-0.16600000000000037,-1.0,0.0
2020-02-04,9.22,9.283999999999999,-1,0,-0.19399999999999906,-1.0,0.0
2020-02-05,9.226,9.28,-1,0,-0.3139999999999983,-1.0,0.0
2020-02-06,9.26,9.266,-1,0,-0.3960000000000008,-1.0,0.0
2020-02-07,9.174,9.206,-1,0,-0.5719999999999992,-1.0,0.0
2020-02-10,9.206,9.28,-1,0,-0.6020000000000003,-1.0,0.0
2020-02-11,9.262,9.356,-1,0,-0.5860000000000003,-1.0,0.0
2020-02-12,9.22,9.28,-1,0,-0.7720000000000002,-1.0,0.0
